t,length,area,labels.distribution.amount,labels.distribution.length,labels.distribution.area,labels.transmission.amount,labels.transmission.length,labels.transmission.area,labels.transmission_overhead.amount,labels.transmission_overhead.length,labels.transmission_overhead.area,Country,growth_percent,growth_km
2025-11-13T00:00:00Z,10336.3460870512,0,162,471544.676613538,0,838,9864.80141043766,0,836,9864.61862650468,0,Serbia,0.0146904789433972,149.6474813695
2025-11-13T00:00:00Z,871.609444132395,0,,,,21,871.609444132395,0,21,871.609444132395,0,Sierra Leone,-1.42267622646848e-09,-1.24001803669671e-06
2025-11-13T00:00:00Z,7420.22743512999,0,255,120145.152057531,0,1601,7317.39983011445,0,1600,7316.94158138015,0,Slovakia,-0.0180568336275187,-136.44966110357
2025-11-13T00:00:00Z,3438.87664921081,0,295,357384.139000988,0,413,3135.89331828676,0,377,3116.96451073447,0,Slovenia,0.00761269510304456,25.9813314725498
2025-11-13T00:00:00Z,78430.4911268888,0,82,229799.310196645,0,7655,78200.7273071895,0,7594,78114.1253555569,0,South Africa,0.00409490663161784,319.855758768797
2025-11-13T00:00:00Z,14552.6454895716,0,2,11099.4301567634,0,3212,14541.5460594148,0,2915,13967.8352743872,0,South Korea,0.0111843978073841,160.962309800399
2025-11-13T00:00:00Z,267.967235702501,0,,,,10,267.967235702501,0,10,267.967235702501,0,South Sudan,0,0
2025-11-13T00:00:00Z,75877.9360783452,0,4040,11872096.2321107,0,12623,64062.4933327461,0,12047,62850.1125274482,0,Spain,0.0128229658389687,960.661650733906
2025-11-13T00:00:00Z,3547.8590256226,0,29,125774.290823339,0,232,3422.08473479926,0,232,3422.08473479926,0,Sri Lanka,0.291339083639345,800.43267527644
2025-11-13T00:00:00Z,6625.25721840329,0,,,,656,6625.25721840329,0,656,6625.25721840329,0,Sudan,-0.000395166136922854,-2.61911228560075
2025-11-13T00:00:00Z,133.895916832202,0,,,,6,133.895916832202,0,6,133.895916832202,0,Suriname,0,0
2025-11-13T00:00:00Z,36202.4130425779,0,1668,4472074.17002741,0,5341,31779.6797260178,0,5191,31271.1012311016,0,Sweden,0.0151734014386115,541.103367526201
2025-11-13T00:00:00Z,8771.29414810218,0,436,471313.618373371,0,4689,8525.16877335028,0,4218,8214.25426715705,0,Switzerland,-0.0070257911312934,-62.0613104401891
2025-11-13T00:00:00Z,11788.7241858481,0,2,64449.4578974094,0,698,11724.2747279507,0,680,11722.8529580346,0,Syria,0.0217340838662132,250.766930629699
